name	STL40001	STL50160	STL20014	STL10240	STL10562	STL50315	STL20316	STL11021	STL50425	STL40635	STL10896	STL40673	STL20497	STL20112	STL40455	STL10793	STL10956	STL20672	STL40720	STL50520	STL10191	STL20117	STL10877	STL40535	STL20481	STL40511	STL11080	STL40626	STL20539	STL40521	STL10860	STL40555	STL20522	STL40014	STL40593	STL20185	STL10458	STL11073	STL20276	STL10575	STL11057	STL11122	STL20136	STL40229	STL20378	STL40017	STL20644	STL20654	STL20630	STL40716	STL40691	STL20653	STL40701	STL20648	STL10603	STL20292	STL40244	STL10762	STL20184	STL11041	STL40554	STL40595	STL40066	STL40180	STL40437	STL40280	STL20461	STL40571	STL10915	STL40539	STL10884	STL11089	STL40487	STL40040	STL10705	STL10836	STL10590	STL10279	STL10263	STL20631	STL10811	STL11040	STL10126	STL10405	STL10177	STL10022	STL10180	STL40177	STL10037	STL10323	STL10504
cpd_140				15660										187	1501	19740							2355			338	16483	20				377		167	2			9738		44	55612	2533			236			2133	951		275	5		4296	198			9	500429			22650			665063	123				959217	4353417	18292		15951	764643		169	1996768	2151591				10254		138	732			420	70698	
cpd_141	2320	7840	8958	76062	8676	12467	13722	1119	3609	20684	5105	3018	5648	21494	26296	130007	99	6778	4055	6162	16283	4505	53626	6939	10036	11186	109504	14135	15739	17474	6717	38193	2405	192351	6370	203503	42597	60859	20839	2079	25071	10209	10125	11167	2119	8481	14028	24389	126724	3461	17565	14135	13625	28200	73160	10321	5271	8703	60021	87330	11087	6964	3429	4678	63862	29280	4143	59927	38144	6918	36575	32685	4376	37345	123084		1920	112462	332708	9129	4643	2581	38671	22469	42413	9185	12776	14367	50489	70510	124679
cpd_142	6591	291	896	341	106		561		2707	9397	931	1159	27383	14169	21170	7522	3700	591	4966	185	29200	183	3037	237	142	34778	29270	1218	172	12360	660	285	688	570	1309		10603	360	2621	959	134	885	30506	33268	2055	988	189	1322	3823	1612	16079	802		3450	11759	123	78	567	52198	451	922	920	59	17403	3828	7564	343	206691	32689	178	426	10814	1125	324	216		192	4042	1620	115	606		4216		4870	12790	430		7414	1447	10468
cpd_143	2911	3716	1875	1461		104	6168		260	396	3207	8186	21807	3476	1641	725	2449	3308	6390	844	8478	15455	8894	5531	7771	5344	6782	248	1589	6290	599	566	1446		1225	1691	918	91	2290	858	98		18126	3198	1315	3169		2885	743	1132	6340	985	1457	3373	3489	3129	13853	9611	866	2054	2141	1301	27246	34235	311	5398	1335	4469	2430	556	1823	624	2148	2017	1132	15124		2703	240	261	494	132		1400	3566	4618	586	1434	5677		2438
cpd_144	93	109	102	15168	204	5493	10663	513	194	2667	2483	182	716	2256	9576	17738	805	257		590	1010	101	4363	680	721	335	23344	8571	407		242	44789	465	9727	685	19006	506	14314	1340	1980	29078	7379	205	362	9283	1103	1733	3508	6551	85	2438	6336	111	3821	9917	1287	530	2457	17323	3332	753	2070	63	468	8324	5323	12641	2382	798	1409	45403	983	994	5260	26851	34	2062	12487	17764	87	683	111	9603	282	1924	1812	115	6	1182	18508	13463
cpd_145		58		3277		152					176			190	1398	2076							2554		158	252	7102		5176	226	137	19699	711	4797	89	8616	153	21251	140	325	29373	6381	1514	48			405	4842	13576		1214			14908		558		2923		6359			67	67	704		99	108	599	306	46445	392	1658	9221	46926			17471	31097		319		4341		3267	45			7006	149714	5240
cpd_146											386	243	54								48				656	3	2596	6	19	12	46	99	25	70	2	32	6	624	1620	13	2004	507	23	3	8	34	11	266	406		96	16	11	319	404	13	21	218	524	23		34	34	5	920	2	14	26	2	273	2019	27	61	261	577	307	1	828	1631	10	46	12	403		9	117	38	47	4	4766	179
cpd_147	1011	2275	1978	47641	1948	24869	5748	3522	245	8523	9543	2889	4740	8469	6783	56368	1269	260	1906	1127	5790	2290	17236	3827	5627	1743	50788	3895	1903	3028	1053	17997	2678	31199	1705	75933	3935	58638	10338		68514	25039	2236	5329	1045	2620	469	5348	25056	274	12762	1307	3689	10022	63410	7554	2336	19441	39780	16288		843	2033	283	46231	2707	3101	8432	4671	16392	87534	5825	1493	33275	49422			51497	137492	4954	876	144	22345	7328	4849	8694	1158	1924	8684	67914	110641
cpd_148	27401	6528	1852	947	877	583	6841		2580	9230	9043	10882	59389	24917	22316	17912	1598	507	3028	172	30792	13292	3235	115	501	52544	21854	3604	217	51220	290	149	2102	120	375	3489	11527	106	1459	302	724	1924	51696	24369	254	477	24	4086	4335	10879	17376	201	689	3385	16604	1236	5494	4148	26500	1209	433	227	4161	47711	4014	11034	6066	124579	25997	1416	1555	21315	1129	1653	321	2328	84	3571	3200	6955	129	9	2343	3507	3086	29263	3843	1351	7237	138	33878
cpd_149	8263	3521	3254		304	4840	31204				15850	8541	10726	3693	56		340	785	2874	50	8946	26201	5743	7308	9000		418	327	1752	11356	119	1325	3022	11	263	738			1745	352		266	11964	23	1764	4932	81	4344		325	3766	942	751	2780	2619	3113	25014	15634	6	19	1693	1630	7813	31611	52	3	12407	4		78	1295	5	3157	1855	6	127	14	839		5549	2480	252	182		1064	2364	3964	6081	213		
cpd_150	2568	43166	16232	8260	5892	45971	9894	8564	6199	90191	1284	2717	3639	18047	2180	35461	13484	3791	1061	4157	2491	43545	15558	4251	7765	1541	59170	5970	88	30800	16230	13051	1830	423995	4209	31833	39614	107894	2460	1439	33693	52965	55706	10548	41707	47133	11177	15999	63293	9173	16164	8312	20611	8709	141478	46679	19976	20049	60033	402962	10687	1375	133410	43244	34230	7255	5649	2897	825	13814	97797	52548	7822	60338	512948		1402	62980	120898	11544	13	12667	15545	217510	6963	39853	3635	6064	1295378	95631	171833
cpd_151	1015343	2497032	1825129	513857	419622	1463058	1476555	285936	698992	850341	921727	2481603	2633508	1378372	679151	1277925	386278	862550	592226	1810181	194219	1563817	469492	842511	769866	185941	772941	1177056	548533	2322700	1565412	1352809	1435782	2392399	1201561	292321	1054491	1081913	2224456	888853	625738	332359	1128033	438438	2121650	1825117	726457	1099890	252848	1627586	670034	673118	1174686	429181	1090008	2172363	1226211	2687711	942041	2285284	757297	1216372	1700010	1312430	773130	948940	2109899	1075695	557974	578372	1656525	415799	1690121	645718	934158		421092	787438	567444	404217	1590165	508324	2558262	236960	262109	1515739	2450480	2872273	2831090	70209	1634240
cpd_152	11885	36324	40845	45083	5726	72645	15594	48029	104319	91601	5903	16161	55077	87433	46137	69410	2145	24529	33365	131194	41252	70815	33124	11110	15541	20971	59122	58068	23582	56098	106809	92103	18983	177436	16224	67135	35310	133202	77449	22778	95435	91086	31902	49949	22979	56595	53847	44641	70154	85688	45321	24871	29936	24662	165942	28245	21730	21950	88863	226382	39032	26373	23627	17349	60122	77162	68645	43715	55740	41116	163277	48292	35686	31927	170480		40856	71434	76074	17902	20615	10094	146269	114846	35374	67332	80373	50118	504727	56571	200243
cpd_153	2605	1836	7941	74682	12179	13721	5699	6265	14610	9153	2612	1071	2176	2178	3916	7882	522	31867	47589	110252	7167	9276	5196	2254	4729	2994	6950	7095	2498	5193	1776	2523	23928	23581	5181	68924	6636	13572	6710	70713	17187	5015	7848	17125	6058	9995	3679	9704	10143	2105	6426	2923	13886	8359	26592	12991	1333	3683	29375	37194	1540	20598	5055	3803	15401	14127	8362	4973	9976	10727	38433	6168	12290	5927	219506	427	53	14785	19704	3007	628	6427	8068	57956	8328	9490	14378	5630	129067	13453	61065
cpd_154	63679	26585	21149	473	29	80	11756		7240	20048	554	3227	7558	34904	33943	93301	1245		1290	3842	33098	188060	4548	949	4938	1346	2403	731777	4176	87347	1665	345	617		4006	36	2120	5	478	545	4501	6439	68768	8912	188098	840	7141	33042	3655	114222	10321	8558	9087	135717	9757	1491	587	1879	19473	1746	729	2106	15	1756	566092	76553	1259	787	10003	100784	6068	14873	969	326740			160	28635	8204	2464	1178	1564	5229		361046	37314	2785	2061	1257	15	60
cpd_155	134663	187601	202845	33276	46401	92315	118515	5546	46567	77467	176248	179519	125842	177893	63291	54788	2519953	172434	166558	37943	104336	145944	98499	140875	209426	38980	26755	72612	124413	115586	256498	145569	135379	30510	435040	512146	73465	25245	475750	188619	29433	39025	102883	81739	194883	267298	162971	59511	85412	99676	80054	91472	38594	72592	111910	128525	109846	145309	371472	170868	155174	137347	83798	233362	63181	86466	123758	124006	213963	125138	44163	44576	269122	79905	54633	57549	96506	96899	67286	108938	254066	71806	143849	45841	79595	150044	136476	134198	25181	30050	57661
cpd_156	3312856	1694565	7497960	4995267	4756501	3807427	2656892	3293568	1631269	3392667	3594025	1797734	3391793	5871497	3443654	10514077	2041609	1466995	1615879	1716185	1351240	1516608	1993966	1361514	1106898	5518046	6654775	5916062	6475308	14236791	3428222	3618652	2307760	10433921	3083611	6207788	5744065	2979372	2161108	240138	9957965	2679011	2454098	2601802	15585226	1543516	1007929	3474508	7835531	3805988	3833741	2565226	7220103	3555415	15375323	794878	10653833	826119	5458108	4777155	621050	5163276	477690	2015643	5971657	6061145	3159000	5853068	18457933	13708675	7011996	11538434	1732978	7891545	7451820	14545965	3743987	2643341	4185998	901741	21559044	360622	14300119	568068	1188794	3410689	308710	3457128	7784865	2375059	8816468
cpd_157	310625	211682	176533	2000751	628849	638506	237380	1643769	1182329	624405	263469	219223	233086	245292	305216	531626	264972	277565	237576	213932	694238	246873	380174	177562	191524	460678	850223	412327	487542	356932	413852	558864	339475	1021348	306561	1834160	483082	1022873	220452	312405	566038	943021	314355	731304	287398	302948	601269	381284	965029	315176	431505	284479	302924	372968	647236	317885	277937	304220	702308	1040958	360185	237104	340683	244029	684361	702409	382641	404453	1755444	571193	653068	606570	373226	733825	1410225	1685898	497145	449762	725140	354878	247118	424226	1478189	1511620	751803	470833	313639	298956	883495	1282734	1255033
cpd_158	145628	160412	258225	6181	82022	89215	179630	1570	4125	27918	305949	345200	154836	76044	20352	7437	445501	247666	174760	406864	816	96782	42409	165943	164026	65833	8392	83884	42134	24715	44018	91107	180665	605	231560		39908	14196	210997	134415	70	1619	67751	10105	151006	210615	129190	35097	262	163697	48077	441890	373637	38836	4471	132136	87106	280117	15618	17067	42170	214142	86489	56726	17498	46755	83925	41824	61270	98645	1555	41319	331928	17343	8375		10362	50661	421	34083	170281	97382	20753		109045	36381	139949	189440	2120		2462
