name	IPA_D0_2	IPA_D0_3	IPA_D3_1	IPA_D3_3	IPA_D3_4	IPA_D7_2	IPA_D7_4	IPA_D7_5	pbs_D0_2	pbs_D0_3	pbs_D0_5	pbs_D3_1	pbs_D3_4	pbs_D7_4	pbs_D7_5
Prkd1	0.421576	0.414804	0.558152	0.655559	0.288925	0.307516	0.40892	0.365238	0.376915	0.623174	0.544428	0.428671	0.876006	0.515833	0.52356
Prkd2	7.117033	6.476102	5.982614	7.899854	5.852229	6.422347	9.446322	8.316073	4.866625	4.435086	6.030037	10.220248	5.606801	5.187901	6.502298
Prkd3	6.118583	5.569832	5.823135	10.265629	1.614082	2.951203	3.360155	3.555843	2.486164	3.304556	2.709888	3.194062	12.104763	3.901015	4.090081
Prkdc	1.851665	2.172183	1.941974	1.4897	1.112046	1.366411	1.35252	1.264289	1.134925	1.564112	1.296085	1.997544	2.571942	1.33049	1.19837
Prkg1	3.169694	2.30502	2.445054	4.928144	0.536175	0.475921	1.305794	1.077917	0.578962	0.986956	1.173538	1.144498	5.862799	1.709085	2.012122
Prkg2	9.154799	3.701535	5.679429	0.543556	7.21666	8.639364	2.268029	7.944979	13.57681	16.777983	16.359934	2.854469	0.600325	7.104509	10.087928
Prkn	0.659343	0.691709	0.398672	0.714744	0.625649	0.329063	0.291929	0.283161	0.477283	0.49545	0.224361	0.79106	1.285135	0.680546	0.460938
Prkra	16.411012	13.110868	15.029643	11.411125	16.449971	20.576635	15.473043	15.722519	16.604069	15.750169	14.001912	11.632647	12.203254	18.229148	13.179272
Prkrip1	4.435895	4.356246	5.112113	3.127894	6.281122	5.652977	6.702656	6.604742	4.564713	5.353908	4.73413	5.540763	3.19373	4.811545	5.19261
Prkx	6.353544	6.13294	4.114953	3.359924	3.078536	4.910597	2.48009	3.218941	4.570108	4.50922	4.990583	2.252561	3.115761	3.617387	2.99934
Prlh	0.467992	0.761635	0.903494	0.791917	0.110185	0.220489	0.253984	0.249056	0.42007	0.19053	0.131173	1.520766	0.519404	1.435809	0.122307
Prlr	1.148885	0.894896	0.851385	0.173388	1.279381	0.680033	0.269877	0.99407	1.804929	1.750501	1.731586	0.276849	0.145981	1.126536	0.721792
Prmt1	22.42156	24.415375	26.181348	25.03514	22.861027	25.301684	30.805451	28.262565	18.664773	24.225238	20.092631	33.56588	35.978276	23.856101	29.983917
Prmt2	23.112299	19.88973	20.40309	20.427534	13.237628	12.990653	11.458984	14.155644	13.728422	15.826662	18.709303	13.408528	26.343317	15.51861	12.537561
Prmt3	3.694894	3.663685	3.646853	4.123715	2.66589	3.444927	4.1319	4.96278	3.168443	4.553912	2.851157	4.505245	4.936366	3.907473	3.950362
Prmt5	8.388884	7.248456	6.934886	7.393931	6.749904	8.872356	9.167158	10.465115	7.349606	8.838624	6.734987	6.251693	11.46066	5.276228	6.501731
Prmt6	3.061767	2.668671	2.329389	2.722506	2.303437	3.888089	3.408232	4.145432	2.344929	2.3187	2.629835	2.212086	3.093462	3.02352	2.84733
Prmt7	5.107109	4.244599	4.948173	4.677966	4.154392	5.81627	6.126108	6.503053	4.793047	6.337061	4.343539	4.268582	6.203028	4.619374	4.635893
Prmt8	0.311594	0.242294	0.331662	1.312737	0.126352	0	0.116577	0.060144	0.139425	0.065609	0.131748	0.131259	0.81445	0.264495	0.315465
Prmt9	3.342265	3.742274	3.620879	3.749413	3.768435	4.219256	3.774945	4.325558	2.996799	3.838735	2.712738	4.405539	4.45998	5.098278	3.64884
Prn	0	0.069498	0	0.130757	0.059234	0.038995	0.093399	0.14447	0.070059	0	0	0.252587	0.115184	0.204296	0
Prnp	123.004411	122.761138	106.924029	152.105613	66.956491	79.972404	74.303209	91.514695	75.39671	101.362601	94.904611	87.132358	192.444387	116.006796	99.347501
Prob1	0.559381	0.58981	0.465416	0.417732	0.189943	0.231741	0.313311	0.257577	0.287063	0.412199	0.356179	0.572859	0.55279	0.26233	0.709391
Proc	2.628101	2.136263	4.4396	0.965499	3.915575	5.444738	4.127772	2.798108	2.213531	3.691793	2.891931	3.130718	1.164911	2.930851	2.667179
Proca1	0.539498	0.945963	1.091666	1.241324	0.574391	0.307645	0.851635	0.722308	0.275995	0.786003	0.734704	1.311724	1.75012	0.275956	0.458181
Procr	2.236042	0.967947	1.520853	1.118975	0.888742	3.010885	4.564275	3.231588	1.110992	1.772907	2.345256	1.952609	1.022787	1.520557	0.786546
Prodh	9.781021	6.478604	8.616871	3.242566	20.190044	11.512863	11.194777	18.71684	11.149789	11.924417	10.618498	13.831807	4.371899	7.217704	11.486567
Prokr1	0.253279	0.236916	0.308151	0.372073	0.116849	0.056541	0.22534	0.134781	0.142237	0.189408	0.154234	0.14158	0.43576	0.260792	0.42555
Prom1	101.401709	75.591665	94.346162	35.346153	95.330128	196.253795	69.51366	94.51634	104.32207	118.35442	89.048809	42.021674	18.936648	116.762128	83.751739
Prorp	2.490854	1.589018	2.207307	1.840316	2.753038	3.512797	2.851324	2.88287	2.817201	3.336623	2.176635	1.947126	1.799342	2.199051	2.007442
Prorsd1	6.536827	5.567397	6.201158	4.122994	4.946644	5.943694	7.624361	5.64537	6.258608	6.893464	6.043141	6.456549	7.24496	7.172162	6.535031
Pros1	4.87489	4.254035	4.502948	7.473615	1.974794	2.67353	4.073538	4.366434	2.550345	3.135245	2.640617	4.405869	9.943782	5.321227	4.009303
Proscos	0.114541	0	0.193935	0.079783	0.196758	0	0	0.201446	0.135338	0.333623	0.142787	0.109632	0.127405	0.105733	0.274885
Proser1	4.351668	3.122981	3.338385	2.729651	3.019346	3.854681	2.947094	3.347534	3.03841	3.757384	3.586518	3.586853	3.545809	3.010441	4.133349
